,latitude,longitude,population,review_count,is_open,alcohol,parking,good_for_kids,outdoor_seating,casual_attire,price_range,reservations,delivery,takeout,accepts_credit_cards,stars
0,40.1104457,-88.2330726,38156,5.0,1.0,1,0,0,0,1,1,0,1,1,1,4.5
1,40.1181331448,-88.242899908,38156,47.0,0.0,1,1,1,0,1,1,0,1,1,1,3.0
2,40.0996476,-88.2447683,38156,60.0,1.0,1,1,1,0,1,1,0,1,1,1,4.0
3,40.1190386,-88.2438816,38156,130.0,0.0,0,1,0,1,1,2,1,0,1,1,3.5
4,40.1112117,-88.2290795,38156,60.0,1.0,1,1,1,0,1,1,0,0,1,1,4.0
5,40.1183372538,-88.2437766095,38156,712.0,1.0,0,1,1,1,1,2,1,1,1,1,4.0
6,40.1185666238,-88.2432330386,38156,287.0,1.0,0,1,0,1,1,2,1,1,1,1,3.5
7,40.139982,-88.244108,38156,96.0,1.0,0,1,1,1,1,2,0,0,1,1,3.0
8,40.1071261,-88.243912,38156,99.0,1.0,0,1,1,1,1,1,0,1,1,1,3.0
9,40.1094391,-88.2306035,38156,61.0,1.0,1,1,1,0,1,2,1,1,1,1,2.5
10,40.1108158,-88.2291353,38156,71.0,1.0,1,1,1,0,1,2,0,0,1,1,3.0
11,40.1097629,-88.2408378,38156,63.0,1.0,1,1,0,0,1,1,0,1,1,1,3.0
12,40.1111668574,-88.2305980101,38156,41.0,1.0,1,0,1,0,1,1,0,1,1,1,4.5
13,40.1164204,-88.2433829,38156,37.0,1.0,1,0,1,0,1,1,0,0,1,1,4.5
14,40.1092811348,-88.2313949615,38156,34.0,1.0,1,1,1,1,1,1,0,0,1,1,3.5
15,40.117237,-88.2431919,38156,124.0,0.0,0,1,0,1,1,3,1,0,1,1,3.5
16,40.1099627,-88.2351409,38156,53.0,1.0,1,1,0,0,1,2,0,1,1,1,2.5
17,40.1110535,-88.2441408,38156,430.0,1.0,1,1,1,0,1,2,1,0,1,1,4.5
18,40.1104457,-88.2330726,38156,43.0,1.0,1,1,1,0,1,1,0,1,1,1,2.5
19,40.1375355954,-88.2444405556,38156,44.0,1.0,1,1,1,0,1,1,0,1,1,1,2.5
20,40.1031471749,-88.2442199019,38156,42.0,0.0,0,1,1,1,1,2,0,0,1,1,2.5
